id;code;name;town_id;icao;name_eng
250;FOE;Форбес;FOE;KFOE;Forbes AFB
251;FRA;Франкфурт/Майн;FRA;EDDF;Frankfurt/Main
252;FRL;Форли;FRL;LIPK;Forli
253;FRU;Манас;FRU;UCFM;Manas
254;FUK;Фукуока;FUK;RJFF;Fukuoka
255;FZO;Филтон;FZO;EGTG;Filton
256;GAO;Гуантанамо;GAO;;Guantanamo
257;GAQ;Гао;GAQ;;
258;GCM;Оуен Роберт;GCM;MWCR;Roberts Int
259;GDN;Гданьск;GDN;EPGD;Gdansk
260;GDX;Магадан(Сокол);GDX;UHMM;Magadan
261;GDZ;Геленджик;GDZ;URKG;Gelendzik
262;GIB;Гибралтар;GIB;;Gibraltar
263;GIG;Рио-де-Жанейро;RIO;SBGL;Rio De Janeiro
264;GLA;Глазго;GLA;EGPF;Glasgow
265;GME;Гомель;GME;UMGG;Gomel
266;GNA;Гродно;GNA;UMMG;Grodno
267;GNB;Гренобль;GNB;LFLS;Grenoble
268;GND;Поинт Салинес Интл;GND;TGPY;Point Salines Intl
269;GOA;Генуя;GOA;LIMJ;Genoa
270;GOI;Гоа;GOI;VOGO;Dabolim
271;GOJ;Стригино;GOJ;UWGG;Strigino
272;GOS;Антонов;GOS;UKKM;Gostomel
273;GOT;Гетеборг;GOT;ESGG;Goteborg(Land)
274;GPA;Араксос;GPA;LGRX;Araxos
275;GRO;Герона;GRO;LEGE;Girona
276;GRS;Гроссето;GRS;LIRS;Grosseto
277;GRU;Сан-Паулу;SAO;SBGR;Sao Paulo
278;GRV;Грозный;GRV;URMG;Grozny
279;GRZ;Грац;GRZ;LOWG;Graz
280;GSO;Гринсборо;GSO;KGSO;Greensboro
281;GSV;Гагарин ;RTW;UWSG;Gagarin
282;GUA;Гватемала;GUA;;La Aurora
283;GUM;Гуам;GUM;;
284;GUW;Атырау;GUW;UATG;Atyrau
285;GVA;Женева;GVA;LSGG;Geneva
286;GYD;Бина;BAK;UBBB;Bina
287;GYR;Гудйеар;GYR;;
288;GZP;Газипаша-Алания;GZP;LTFG;Gazipasa-Alanya
289;HAJ;Ганновер;HAJ;EDDV;Hannover
290;HAM;Гамбург;HAM;EDDH;Hamburg
291;HAN;Нойбай ;HAN;VVNB;Noibai Intl
292;HAU;Хагесунд;HAU;ENHD;Haugesund
293;HAV;Хосе Марти межд.;HAV;MUHA;Jose Marti Intl
294;HDD;Хайдерабад;HDD;;Hyderabad
295;HEL;Вантаа;HEL;EFHK;Vantaa
296;HER;Ираклион;HER;LGIR;Iraklion
297;HET;Хух-Хото;HET;ZBHH;Hohhot
298;HEW;Хеллиникон;ATH;LGAT;Hellinikon
299;HGA;Харгейза;HGA;HCMH;Hargeysa
300;HGH;Сяошань;HGH;ZSHC;Xiaoshan
301;HHN;Хан;HHN;EDFH;Hahn
302;HKD;Хакодата;HKD;;Hakodate
303;HKG;Гонконг;HKG;VHHH;Hong Kong Intl
304;HKT;Пхукет;HKT;VTSP;Phuket
305;HMA;Ханты-Мансийск;HMA;USHH;Khanty-Mansiysk
306;HMJ;Хмельницкий;HMJ;UKLH;Khmelnitskiy
307;HND;Ханеда;TYO;RJTT;Haneda
308;HNL;Гонолулу;HNL;;Honolulu
309;HOG;Франк Пэйс;HOG;MUHG;Frank Pais
310;HRB;Харбин;HRB;ZYHB;Harbin
311;HRE;Хараре;HRE;FVHA;Harare
312;HRG;Хургада;HRG;HEGN;Hurghada Intl
313;HRK;Основа;HRK;UKHH;Osnova
314;HTA;Чита;HTA;UIAA;Chita
315;HTG;Хатанга;HTG;UOHH;Hatanga
316;HWO;Ноос Рерри;HWO;KHWO;North Perry Airport
317;HYD;Хайдерабад;HYD;;Begumpet
318;IAA;Игарка;IAA;UOII;Igarka
319;IAD;Даллес;WAS;KIAD;Dulles Intl
320;IAH;Хьюстон;HOU;KIAH;Houston
321;IAR;Ярославль(Туношна);IAR;UUDL;Yaroslavl(Tunoshna)
322;IBZ;Ибиза;IBZ;LEIB;Ibiza
323;ICN;Сеул/Инчон ;SEL;RKSI;Seoul/Inchon (Intl)
324;IEG;Зелёна Гура Бабимост;IEG;EPZG;Zielona Gora Babimos
325;IEV;Жуляны;IEV;UKKK;Zhulyany
326;IFO;Ивано-Франковск;IFO;UKLI;Ivano-Frankivsk
327;IGT;Слепцовская;IGT;URMS;Sleptsovskaya
328;IGU;Фос-ду-Игуасу;IGU;SBFI;Foz do Iguacu
329;IJK;Ижевск;IJK;USII;Izhevsk
330;IKA;Имам Хомени;THR;OIIE;Imam Khomeini
331;IKT;Иркутск;IKT;UIII;Irkutsk
332;INN;Инсбрук;INN;LOWI;Innsbruck
333;ISB;Шаклала;ISB;OPRN;Chaklala
334;ISE;Испарта;ISE;;Isparta
335;ISL;Ататюрк;IST;LTBA;Ataturk
336;IST;Стамбул;IST;LTFM;Istambul
337;IVL;Ивало;IVL;EFIV;Ivalo
338;IWA;Иваново;IWA;UUBI;Ivanovo
339;IXC;Чандигар;IXC;VICG;Chandigarh
340;JAI;Джайпур;JAI;VIJP;Sanganeer
341;JED;Джидда;JED;OEJN;Jeddah
342;JFK;Кеннеди;NYC;KJFK;John F Kennedy
343;JIB;Джибути;JIB;HDAM;Djibouti
344;JKT;Джакарта;JKT;WIII;Jakarta
345;JNB;Йоханнесбург;JNB;FAJS;Johannesburg
346;JOE;Йоенсуу;JOE;EFJO;JOENSUU
347;JOK;Йошкар-Ола;JOK;;Joshkar-Ola
348;JRO;Килиманджаро;JRO;;Kilimanjaro
349;JTR;Санторини;JTR;LGSR;Santorini
350;JYV;Джуваскула;JYV;EFJY;Jyvaeskylae
351;KAJ;Кайяни;KAJ;EFKI;Kajaani
352;KAN;Кано;KAN;DNKN;Kano
353;KAO;Куусамо;KAO;EFKS;Kuusamo
354;KBL;Кабул;KBL;OAKB;Kabul
355;KBP;Борисполь;IEV;UKBB;Borispol
356;KEF;Кефлавик;REK;BIKF;Keflavik
357;KEJ;Кемерово;KEJ;UNEE;Kemerovo
358;KGD;Храброво;KGD;UMKK;Khrabrovo
359;KGF;Караганда;KGF;UAKK;Karaganda
360;KGL;Кигали;KGL;HRYR;Kigali
361;KGP;Когалым;KGP;USRK;Kogalym
362;KGS;Кос;KGS;LGKO;Kos
363;KHI;Карачи;KHI;OPKC;Karachi
364;KHV;Новый;KHV;UHHH;Novy
365;KIH;О. Киш;KIH;;Kish Island
366;KIJ;Ниигата;KIJ;RJSN;Niigata
367;KIN;Кингстон;KIN;MKJP;Kingston(Jam)
368;KIR;Керман;KIR;OIKK;Kerman
369;KIV;Кишинев;KIV;LUKK;Chisinau
370;KIX;Осака-Кансай;OSA;RJBB;Osaka-Kansi
371;KJA;Емельяново;KJA;UNKL;Krasnoyarsk
372;KKN;Киркинес;KKN;ENKR;Kirkines
373;KLD;Мигалово;KLD;UUEM;Migalovo
374;KLF;Калуга;KLF;UUBC;Kaluga
375;KLU;Клагенфурт;KLU;LOWK;Klagenfurt
376;KLV;Карловы Вары;KLV;LKKV;Karlovy Vary
377;KLX;Каламата;KLX;;Kalamata
378;KMG;Кунминг;KMG;ZPPP;Kunming
379;KMI;Миядзаки;KMI;;Miyazaki
380;KMJ;Кумамото;KMJ;RJFT;Kumamoto
381;KMW;Кострома;KMW;UUBA;Kostroma
382;KOJ;Кагошима;KOJ;;
383;KOV;Кокчетав;KOV;UACK;Kokshetau
384;KRK;Краков;KRK;EPKK;Krakow
385;KRO;Курган;KRO;USUU;Kurgan
386;KRP;Каруп;KRP;EKKA;Karup
387;KRR;Пашковский;KRR;URKK;Pashkovsky
388;KRT;Хартум;KRT;HSSS;Khartoum
389;KRW;Туркменбаши;KRW;UTAK;Turkmenbashi
390;KSC;Кошице;KSC;LZKZ;Kosice
391;KSN;Наримановка;KSN;UAUU;Narimanovka
392;KSQ;Карши;KSQ;UTSK;Karshi
393;KSZ;Котлас;KSZ;ULKK;Kotlas
394;KTM;Трибхуван межд.;KTM;VNKT;Tribhuvan Intl
395;KTT;Киттиля;KTT;EFKT;Kettila
